location_id,name,address,type,label_action,label_category,notes
12,Bakkerij Pot / winkelfiliaal Zwijndrecht,"Oudeland 96, 3335 VJ Zwijndrecht, Netherlands",bakery,ignore,,
13,Stichting aan de Bak,"Teilingen 24, 3334 BV Zwijndrecht, Netherlands",bakery,ignore,,
14,Limburgia Zwijndrecht,"Kort Ambachtlaan 105, 3333 EL Zwijndrecht, Netherlands",bakery,ignore,,
15,Chocobonbon,"Kort Ambachtlaan 105, 3333 EL Zwijndrecht, Netherlands",bakery,ignore,,
16,Food&Sweets {Kasmia} 丨賱賵賷丕鬲 賵 賲毓噩賳丕鬲 賯丕爻賲賷丞,"Van Meelstraat 4, 3331 KR Zwijndrecht, Netherlands",bakery,ignore,,
17,Bakkerij Noord Firat Restoria,"Burgemeester Jansenlaan 43, 3331 HD Zwijndrecht, Netherlands",bakery,keep,bakery,
18,MA Vatan Bakkerij,"Surinamestraat 5, 3333 AK Zwijndrecht, Netherlands",bakery,keep,bakery,
19,C. van der Spoel B.V.,"Burgemeester Jansenlaan 4, 3331 HN Zwijndrecht, Netherlands",bakery,ignore,,
20,ZoetLekkers,"Passage 17, 3331 CM Zwijndrecht, Netherlands",bakery,ignore,,
21,Taartenvanmamma,"Anthonie Fokkerstraat, 3331 KA Zwijndrecht, Netherlands",bakery,ignore,,
22,My_Sugarland_,"Slauerhoffstraat 7, 3333 VK Zwijndrecht, Netherlands",bakery,ignore,,
23,Lian Deco,"Kapitein Rietbergenflat 40, 3333 CA Zwijndrecht, Netherlands",bakery,ignore,,
24,Flour Bakes Bakery,"H. Kamerlingh Onnesstraat, 3331 EL Zwijndrecht, Netherlands",bakery,ignore,,
25,LaRosa,"Jollensteiger 26, 3331 MJ Zwijndrecht, Netherlands",bakery,ignore,,
26,R & P Taart en Cupcakes,"Raaigras 75, 3206 JJ Spijkenisse, Netherlands",bakery,ignore,,
27,Bakkerij Voordijk Oud-Beijerland,"Molendijk 44, 3262 AK Oud-Beijerland, Netherlands",bakery,ignore,,
28,Turkse Bakkerij,"Vierwiekenplein 30, 3262 AN Oud-Beijerland, Netherlands",bakery,keep,bakery,
29,Bakkerij Boender,"Molendijk 21, 3262 AH Oud-Beijerland, Netherlands",bakery,ignore,,
30,Banketbakkerij van Strien B.V.,"Simon Stevinstraat 3, 3261 MG Oud-Beijerland, Netherlands",bakery,ignore,,
31,SPAR Heinenoord,"Emmastraat 4, 3274 AC Heinenoord, Netherlands",bakery,ignore,,
32,Het Taartgeheim,"Emmastraat 8b, 3274 AC Heinenoord, Netherlands",bakery,ignore,,
33,Zoete Post,"Ohmstraat 44, 3335 LT Zwijndrecht, Netherlands",bakery,ignore,,
34,&Bakery,"Ohmstraat 44, 3335 LT Zwijndrecht, Netherlands",bakery,ignore,,
35,Veldmeijers Oliebollen,"Langeweg 21, 3343 LD Hendrik-Ido-Ambacht, Netherlands",bakery,ignore,,
36,HEMA,"Dollard 26, 3332 EE Zwijndrecht, Netherlands",bakery,ignore,,
37,Bakkerij Voordijk Zwijndrecht,"Shopping Center Walburg, Hof van Holland 1, 3332 EE Zwijndrecht, Netherlands",bakery,ignore,,
38,Jantine麓s Taart,"De Were 27, 3332 KC Zwijndrecht, Netherlands",bakery,ignore,,
39,Kimmie's Bakery,"Piccolopad 3, 3208 RG Spijkenisse, Netherlands",bakery,ignore,,
40,Turkse bakker Murat Bakkerij Aksa,"Zomerakker 99, 3206 TH Spijkenisse, Netherlands",bakery,keep,bakery,
41,Banketbakkerij Smeets,"Winterakker 2A, 3206 TB Spijkenisse, Netherlands",bakery,ignore,,
42,Donut Express,"Oberonweg 282, 3208 PG Spijkenisse, Netherlands",bakery,ignore,,
43,Meesterbakker Voskamp Waterland,"Vlinderveen 445, 3205 EE Spijkenisse, Netherlands",bakery,ignore,,
44,Happy Cookies,"Vlinderveen 207, 3205 EB Spijkenisse, Netherlands",bakery,ignore,,
45,Meesterbakker Voskamp Maaswijk,"Hadewychplaats 82, 3207 KG Spijkenisse, Netherlands",bakery,ignore,,
46,Bakkerij Boender,"Kromme Nering 16, 2995 BH Heerjansdam, Netherlands",bakery,ignore,,
47,Alles is taart,"Wiekslag 12, 2995 VS Heerjansdam, Netherlands",bakery,ignore,,
48,haan carwash Hendrik-Ido-Ambacht,"Korte Langesteijn 2, 3342 LH Hendrik-Ido-Ambacht, Netherlands",bakery,ignore,,
49,J. Apon Brood- en Banket,"Roestuin 61, 3343 CT Hendrik-Ido-Ambacht, Netherlands",bakery,ignore,,
50,Bakkerij Wolfert,"Louwersplein, 3343 RC Hendrik-Ido-Ambacht, Netherlands",bakery,ignore,,
51,C. van der Spoel,"Sophiapromenade 20, 3344 PM Hendrik-Ido-Ambacht, Netherlands",bakery,ignore,,
52,Meesterbakker Voskamp Sterrenhof,"Sterrenhof 22, 3204 AT Spijkenisse, Netherlands",bakery,ignore,,
53,De Koekelier,"Pootstok 11, 3341 RS Hendrik-Ido-Ambacht, Netherlands",bakery,ignore,,
54,Diana's Taart & Cupcake,"Pascalweg 7, 3208 KL Spijkenisse, Netherlands",bakery,ignore,,
55,HEMA,"Stadhuispassage 2, 3201 ES Spijkenisse, Netherlands",bakery,ignore,,
56,Enjoy-Cakes,"Voorstraat 45, 3201 BA Spijkenisse, Netherlands",bakery,ignore,,
57,Meesterbakker Voskamp Nieuwstraat,"Nieuwstraat 183, 3201 EE Spijkenisse, Netherlands",bakery,ignore,,
58,MultiVlaai,"Stadhuispassage 2C, 3201 ES Spijkenisse, Netherlands",bakery,ignore,,
59,Spijkenisse,"Uitstraat 3, 3201 EN Spijkenisse, Netherlands",bakery,ignore,,
60,Bakkerij Reedijk,"Uitstraat 3, 3201 EN Spijkenisse, Netherlands",bakery,ignore,,
61,Cake Art BV,"Theemsweg 93, 3201 LT Spijkenisse, Netherlands",bakery,ignore,,
62,Meesterbakker Voskamp Zalmplaat,"In de Fuik 46, 3192 HD Hoogvliet Rotterdam, Netherlands",bakery,ignore,,
63,KC's Bakery,"Tijsjesdijk 7, 3161 CV Rhoon, Netherlands",bakery,ignore,,
64,Mich猫lle's Sweets,"Essendijk 3, 3161 ED Rhoon, Netherlands",bakery,ignore,,
65,Bakkerij Klootwijk,"Van Beuningenhaven 7, 2993 EH Barendrecht, Netherlands",bakery,ignore,,
66,Dudok Patisserie - Bakkerij,"Trondheim 7, 2993 LE Barendrecht, Netherlands",bakery,ignore,,
67,Cannoli box,"L眉beck 5, 2993 LN Barendrecht, Netherlands",bakery,ignore,,
68,R&M Taarten,"Standerdmolen 38, 2992 DL Barendrecht, Netherlands",bakery,ignore,,
69,Bakker. Voordijk Ridderk. B.V.,"De Schoof 124, 3341 EN Hendrik-Ido-Ambacht, Netherlands",bakery,ignore,,
