Work Type,Summary,Description,Epic Link,Status,Priority,Labels,Story Points,Acceptance Criteria,Definition of Done,Technical Notes,Components,Risk Level
Epic,Foundation & Infrastructure,"Establish the core development environment, repository structure, and deployment pipelines for a stable and scalable project foundation.",,To Do,High,"infrastructure,setup,backend,frontend",,,"All foundational systems are operational and documented",,"Backend, Frontend, DevOps",Medium
Story,Monorepo & Initial Project Setup,"Initialize the monorepo with all top-level directories and configuration files. This includes setting up .gitignore, .editorconfig, licensing, and placeholder directories for Docs/, Infra/, Backend/, and Frontend/.",Foundation & Infrastructure,To Do,High,"repository,setup,ci-cd",3,"- Repository can be cloned successfully
- All top-level folders (Docs/, Infra/, Backend/, Frontend/, .github/) exist
- .gitignore is configured for Python, Node.js, and environment files
- A basic README.md file is present with project description and setup instructions","- Monorepo structure created and pushed to version control
- All configuration files in place
- Team can successfully clone and access the repository","This is a ""day zero"" task. Keep it simple and focused on structure, not implementation.","DevOps",Low
Story,Core Backend Infrastructure & Configuration,"Set up the foundational FastAPI application with configuration management, structured logging, and error handling. Create the core application structure without any business logic.",Foundation & Infrastructure,To Do,High,"backend,fastapi,configuration",5,"- Running uvicorn app.main:app starts a server without errors
- GET /health returns a 200 OK status with JSON payload {""status"": ""ok""}
- GET /version returns the current project version
- Application configuration loaded from .env file using Pydantic
- Logging implemented in structured format (JSON) with request IDs","- Backend server runs without errors
- Health and version endpoints functional
- Configuration management working
- Structured logging operational","Focus on making the backend ""alive"" and observable from the start","Backend",Low
Story,Database Schema Implementation & Migration,"Implement the complete database schema as defined in the data model. Create and run idempotent SQL migration scripts in the Infra/supabase/ folder to create all tables (locations, ai_logs, tasks, training_data, category_icon_map) with correct columns, data types, constraints, and indexes.",Foundation & Infrastructure,To Do,High,"database,supabase,migrations",8,"- Running migration script on fresh Supabase project creates all tables successfully
- All defined columns and constraints (PRIMARY KEY, UNIQUE on place_id) are present
- Basic indexes exist on foreign keys and frequently queried columns (state, category, next_check_at)
- Backend can establish database connection and perform simple SELECT 1 query","- All database tables created with proper constraints
- Migration scripts are idempotent and tested
- Backend can connect and query database successfully","The 0001_init.sql file is the single source of truth for database structure","Backend",Medium
Story,Frontend Scaffolding and Build Pipeline,"Initialize the chosen frontend (React + Vite) with basic component structure, build tooling, and configuration that points to the backend API. The app should display a simple ""Hello World"" page.",Foundation & Infrastructure,To Do,High,"frontend,react,scaffolding",5,"- Running npm run dev starts local development server
- Running npm run build creates production-ready build without errors
- Frontend can read API base URL from environment variable (VITE_API_BASE_URL)
- Basic App.tsx component renders a page title","- Frontend development server runs
- Production build succeeds
- Environment configuration working
- Basic component structure in place","This story is agnostic to UI library; focused on making frontend toolchain work","Frontend",Low
Epic,Legal Data Discovery & Ingestion,"Automatically and legally discover potential Turkish-oriented business candidates from Google APIs and store them in the system.",,To Do,High,"data,discovery,google-api,legal",,,"Data discovery pipeline is operational and compliant",,"Backend, Data Engineering",High
Story,Google Places API Integration Service,"Build a robust, quota-efficient service (google_service.py) that wraps the Google Places API (Nearby Search and Text Search). The service must handle API errors, respect rate limits, and use field masks to request only necessary data.",Legal Data Discovery & Ingestion,To Do,High,"google-api,backend,services",8,"- Given latitude, longitude, and radius, service returns list of places
- Given text query (e.g., ""Turkse bakkerij Rotterdam""), service returns list of places
- Service implements exponential backoff for retrying failed requests
- All API calls logged for auditing and cost tracking","- Google Places API integration working
- Error handling and retry logic implemented
- Comprehensive logging in place
- Field masks used for quota efficiency","This is a core, reusable service. Focus on stability and efficiency.","Backend",Medium
Story,DiscoveryBot - Grid-Based Search Scheduler,"Implement the discovery_bot.py worker. It should read configuration of target cities (starting with Rotterdam) and categories, execute grid-based search using Google Service, and insert new, deduplicated candidates into locations table with state CANDIDATE.",Legal Data Discovery & Ingestion,To Do,High,"bot,discovery,automation",13,"- Bot can be run manually from command line
- Processes at least 3 different business categories for Rotterdam
- Successfully deduplicates results based on place_id before insertion
- After run, locations table contains ~500 new records with state = 'CANDIDATE'","- DiscoveryBot executable and functional
- Grid-based search working for Rotterdam
- Deduplication logic implemented
- 500+ candidate records in database","Deduplication is critical to avoid wasting API calls and processing power","Backend",Medium
Epic,AI-Powered Classification & Verification,"Use AI to intelligently filter, categorize, and enrich candidate businesses, moving them to a verified state.",,To Do,High,"ai,classification,openai,verification",,,"AI classification and verification system is operational and accurate",,"AI/ML, Backend",High
Story,OpenAI Service with Structured JSON Output,"Build the openai_service.py that handles communication with OpenAI API. The service must enforce JSON schema on AI output, handle retries, and log all interactions for cost and quality analysis in ai_logs table.",AI-Powered Classification & Verification,To Do,High,"openai,ai,backend",8,"- Service can send prompt and receive valid JSON response conforming to predefined Pydantic model
- If AI returns invalid JSON, service retries request (up to limit)
- Every AI call recorded in ai_logs table with input, output, and model used","- OpenAI integration working with JSON schema validation
- Retry logic for invalid responses implemented
- Comprehensive AI logging in place","Reliability of AI interaction is key. Invalid JSON should be exception, not rule.","AI/ML",Medium
